# Benchmark Image Composition
# Core utilizzati:,8
# Data:,2025-07-04 16:08:31

Num_Immagini,Metodo,Tempo_Secondi,Speedup,Throughput_ImgSec
50,Sequential,185.015,1.00,0.3
50,Joblib,80.130,2.31,0.6
50,Pool,55.567,3.33,0.9
50,Processes,55.379,3.34,0.9
100,Sequential,366.289,1.00,0.3
100,Joblib,173.046,2.12,0.6
100,Pool,97.954,3.74,1.0
100,Processes,98.333,3.72,1.0
150,Sequential,547.870,1.00,0.3
150,Joblib,232.445,2.36,0.6
150,Pool,138.101,3.97,1.1
150,Processes,139.662,3.92,1.1
200,Sequential,732.506,1.00,0.3
200,Joblib,308.698,2.37,0.6
200,Pool,182.125,4.02,1.1
200,Processes,182.163,4.02,1.1
250,Sequential,916.144,1.00,0.3
250,Joblib,396.653,2.31,0.6
250,Pool,247.507,3.70,1.0
250,Processes,230.462,3.98,1.1
300,Sequential,1100.552,1.00,0.3
300,Joblib,491.808,2.24,0.6
300,Pool,276.819,3.98,1.1
300,Processes,309.985,3.55,1.0
350,Sequential,1330.565,1.00,0.3
350,Joblib,544.589,2.44,0.6
350,Pool,314.848,4.23,1.1
350,Processes,316.460,4.20,1.1
400,Sequential,1459.974,1.00,0.3
400,Joblib,618.829,2.36,0.6
400,Pool,356.834,4.09,1.1
400,Processes,359.961,4.06,1.1
450,Sequential,1633.891,1.00,0.3
450,Joblib,699.533,2.34,0.6
450,Pool,403.007,4.05,1.1
450,Processes,409.599,3.99,1.1
500,Sequential,1850.375,1.00,0.3
500,Joblib,927.885,1.99,0.5
500,Pool,469.115,3.94,1.1
500,Processes,471.985,3.92,1.1
