version,num_points,k,threads,time_ms,sse
sequential,100000,50,1,9338.42,3.32062e+08
parallel,100000,50,4,3090.47,3.32062e+08
sequential,100000,50,1,9366.32,3.32062e+08
parallel,100000,50,8,2246.02,3.32062e+08
sequential,50000,50,1,7288.63,1.65864e+08
parallel,50000,50,4,2402.54,1.65864e+08
sequential,50000,50,1,7287.25,1.65864e+08
parallel,50000,50,8,1931.23,1.65864e+08
sequential,50000,50,1,7418.41,1.65864e+08
parallel,50000,50,8,1796.12,1.65864e+08
sequential,1000,5,1,1.67213,3.4266e+07
parallel,1000,5,2,3.58637,3.4266e+07
sequential,50000,50,1,7279.66,1.65864e+08
parallel,50000,50,8,1778.7,1.65864e+08
sequential,10000,50,1,391.725,3.2698e+07
parallel,10000,50,8,86.6772,3.2698e+07
