type,x,y,cluster
point,894,223,22
point,9,343,24
point,826,601,2
point,201,760,20
point,650,545,4
point,128,343,5
point,666,117,17
point,160,892,7
point,618,618,8
point,928,410,9
point,727,982,10
point,250,361,28
point,875,952,12
point,217,207,13
point,273,307,28
point,488,988,15
point,387,567,25
point,610,175,17
point,296,201,18
point,791,777,19
point,144,697,43
point,96,55,47
point,901,349,9
point,754,883,23
point,31,348,24
point,338,486,25
point,913,531,26
point,351,698,16
point,268,293,28
point,674,632,29
point,385,385,14
point,471,597,31
point,115,886,37
point,917,195,22
point,343,245,18
point,929,850,35
point,553,960,15
point,96,895,37
point,413,218,34
point,793,394,39
point,832,713,19
point,418,926,41
point,422,368,30
point,0,558,48
point,415,577,31
point,73,402,24
point,152,457,45
point,56,127,47
point,73,509,45
point,279,49,21
point,808,381,39
point,818,247,0
point,872,508,26
point,83,27,47
point,114,28,47
point,698,645,29
point,409,411,30
point,848,871,23
point,82,582,48
point,246,69,21
point,979,277,9
point,948,337,9
point,943,893,12
point,513,790,27
point,723,993,10
point,625,861,36
point,562,668,8
point,862,130,33
point,250,22,21
point,654,197,17
point,252,22,21
point,115,512,45
point,345,181,18
point,645,637,8
point,600,312,42
point,531,236,34
point,755,222,0
point,657,544,4
point,903,451,26
point,188,941,7
point,696,312,42
point,794,164,0
point,349,9,49
point,241,213,28
point,139,429,45
point,257,609,46
point,305,114,18
point,154,75,21
point,630,443,4
point,462,481,44
point,112,468,45
point,73,405,24
point,905,347,9
point,716,584,2
point,696,348,42
point,755,69,6
point,695,432,4
point,193,135,13
point,531,640,8
point,872,386,9
point,132,627,46
point,829,752,19
point,419,466,25
point,388,799,3
point,510,675,31
point,698,682,29
point,4,410,24
point,512,452,44
point,585,71,38
point,905,250,22
point,131,222,13
point,497,298,30
point,451,498,25
point,592,786,36
point,176,56,21
point,332,581,16
point,714,93,6
point,64,611,48
point,271,984,7
point,695,711,29
point,621,464,4
point,617,901,15
point,741,908,10
point,865,654,40
point,636,727,36
point,448,796,27
point,232,464,11
point,931,659,40
point,410,586,31
point,126,943,37
point,835,552,2
point,437,619,31
point,314,544,25
point,92,744,43
point,13,538,48
point,81,817,32
point,48,635,48
point,925,957,12
point,512,864,15
point,101,183,13
point,816,304,0
point,92,947,37
point,698,4,6
point,181,378,5
point,701,829,36
point,780,536,2
point,699,816,36
point,951,906,12
point,643,702,29
point,47,41,47
point,463,351,30
point,344,550,25
point,506,473,44
point,717,559,4
point,909,128,33
point,806,352,39
point,513,664,31
point,65,409,24
point,112,980,37
point,936,496,26
point,400,73,49
point,529,411,30
point,5,770,32
point,175,746,20
point,715,50,6
point,268,961,7
point,482,122,38
point,743,48,6
point,551,379,30
point,725,304,0
point,44,544,48
point,523,522,44
point,84,763,43
point,707,659,29
point,59,701,43
point,159,319,5
point,554,945,15
point,341,674,16
point,878,512,26
point,384,43,49
point,648,284,42
point,397,537,25
point,364,28,49
point,257,418,11
point,120,81,47
point,103,33,47
point,418,170,34
point,754,515,2
point,289,414,11
point,80,487,45
point,339,563,25
point,557,583,8
point,371,702,16
point,220,585,46
point,918,901,12
point,682,779,36
point,480,392,30
point,372,641,16
point,466,684,31
point,592,285,42
point,706,942,10
point,989,619,40
point,786,801,23
point,288,35,21
point,564,955,15
point,300,194,18
point,31,652,43
point,509,264,34
point,366,200,18
point,182,444,11
point,954,296,9
point,939,795,35
point,42,638,48
point,352,897,41
point,717,598,29
point,26,231,1
point,316,833,3
point,322,508,25
point,613,699,8
point,735,110,6
point,976,829,35
point,980,680,40
point,689,865,10
point,728,661,29
point,736,287,0
point,805,737,19
point,339,26,49
point,168,85,21
point,440,694,31
point,456,785,27
point,896,983,12
point,750,343,39
point,795,688,19
point,65,585,48
point,800,74,6
point,334,480,25
point,616,835,36
point,55,262,1
point,749,550,2
point,535,617,8
point,803,388,39
point,163,77,21
point,686,234,17
point,739,482,4
point,63,416,24
point,776,807,23
point,124,756,43
point,303,767,3
point,961,615,40
point,435,373,30
point,887,167,22
point,599,359,42
point,107,300,5
point,705,8,6
point,746,611,2
point,401,793,27
point,394,878,41
point,276,646,16
point,420,976,41
point,594,440,44
point,744,715,29
point,860,378,9
point,606,103,38
point,515,831,27
point,428,705,27
point,150,79,47
point,831,79,33
point,922,160,22
point,526,837,27
point,776,984,10
point,215,652,46
point,577,393,42
point,331,323,14
point,749,48,6
point,958,71,33
point,369,95,49
point,640,699,29
point,17,267,1
point,380,547,25
point,776,152,0
point,879,837,35
point,569,484,44
