version,num_points,k,threads,time_ms,sse
sequential,100000,50,1,9362.84,3.32062e+08
parallel,100000,50,1,9940.35,3.32062e+08
sequential,50000,25,1,1830.71,3.33879e+08
parallel,50000,25,1,1925.18,3.33879e+08
sequential,50000,25,1,1834.07,3.33879e+08
parallel,50000,25,1,1927.62,3.33879e+08
sequential,50000,25,1,1830.03,3.33879e+08
parallel,50000,25,1,1927.21,3.33879e+08
sequential,50000,25,1,1831.05,3.33879e+08
parallel,50000,25,1,1923.72,3.33879e+08
sequential,50000,25,1,1831,3.33879e+08
parallel,50000,25,1,1923.06,3.33879e+08
sequential,50000,25,1,1830.47,3.33879e+08
parallel,50000,25,2,982.749,3.33879e+08
sequential,50000,25,1,1833.95,3.33879e+08
parallel,50000,25,2,955.826,3.33879e+08
sequential,50000,25,1,1835.36,3.33879e+08
parallel,50000,25,2,956.757,3.33879e+08
sequential,50000,25,1,1836.06,3.33879e+08
parallel,50000,25,2,953.652,3.33879e+08
sequential,50000,25,1,1837.57,3.33879e+08
parallel,50000,25,2,956.849,3.33879e+08
sequential,50000,25,1,1833.69,3.33879e+08
parallel,50000,25,4,653.811,3.33879e+08
sequential,50000,25,1,1833.69,3.33879e+08
parallel,50000,25,4,544.54,3.33879e+08
sequential,50000,25,1,1831.05,3.33879e+08
parallel,50000,25,4,565.051,3.33879e+08
sequential,50000,25,1,1830.26,3.33879e+08
parallel,50000,25,4,605.181,3.33879e+08
sequential,50000,25,1,1830.24,3.33879e+08
parallel,50000,25,4,545.926,3.33879e+08
sequential,50000,25,1,1829.74,3.33879e+08
parallel,50000,25,6,500.966,3.33879e+08
sequential,50000,25,1,1830.02,3.33879e+08
parallel,50000,25,6,496.715,3.33879e+08
sequential,50000,25,1,1833.92,3.33879e+08
parallel,50000,25,6,494.689,3.33879e+08
sequential,50000,25,1,1831.39,3.33879e+08
parallel,50000,25,6,499.949,3.33879e+08
sequential,50000,25,1,1831.95,3.33879e+08
parallel,50000,25,6,494.243,3.33879e+08
sequential,50000,25,1,1833.34,3.33879e+08
parallel,50000,25,8,416.848,3.33879e+08
sequential,50000,25,1,1835.11,3.33879e+08
parallel,50000,25,8,404.945,3.33879e+08
sequential,50000,25,1,1833.81,3.33879e+08
parallel,50000,25,8,413.489,3.33879e+08
sequential,50000,25,1,1829.49,3.33879e+08
parallel,50000,25,8,428.529,3.33879e+08
sequential,50000,25,1,1835.29,3.33879e+08
parallel,50000,25,8,415.506,3.33879e+08
sequential,100000,50,1,9437.29,3.32062e+08
parallel,100000,50,1,9923.31,3.32062e+08
sequential,100000,50,1,9363.35,3.32062e+08
